FirstName,Surname,Position
Francis,Mapfumo,Magistrate
Tendai ,Mahwe,Provincial Magistrate
Florence ,Zambuko,Magistrate
Ruth,Moyo,Magistrate
Willard ,Moyo,Magistrate
Sikhethile ,Moyo,Magistrate
Marehwanazvo ,Gofa,Regional Magistrate
Ntombizodwa ,Mazhandu,Magistrate
Ntombizodwa ,Sibanda,Magistrate
Judith ,Taruvinga,Magistrate
Anita ,Tshuma,Magistrate
Chioneso ,Mutongi,Magistrate
Ignatius ,Mhene,Magistrate
Rumbidzai ,Mugwagwa,Magistrate
Isheanesu ,Matova,Magistrate
Don ,Ndirowei,Magistrate
Tendai ,Chifamba,Magistrate
Diana,Masiyiwa,Magistrate
Chinzou ,Gloria,Magistrate
Dhambuza ,Naison,Magistrate
Hurungudo ,Itai,Magistrate
Jeffrey ,Karen,Magistrate
Kagwere,Aya,Magistrate
Faina ,Makumbe ,Magistrate
Moyo,Mehluli,Magistrate
Komborerai,Mukwesha,Magistrate
Rudo ,Mutezo ,Magistrate
 Makelo ,Ncube,Magistrate
Sekai,Chiwundura,Provincial Magistrate
Samantha ,Chigwedere,Magistrate
Tinotenda ,Makoti,Magistrate
Mbonisi ,Kaweni,Magistrate
Seluleko ,Mathuthu,Magistrate
Kudzanai ,Kapurura,Magistrate
Melody ,Nheweyembwa,Magistrate
Challenge ,Mahembe,Magistrate
Ernest ,Muzembe,Magistrate
Tafadzwanashe ,Marowi,Magistrate
Chikengezha ,Tonderai,Magistrate
Rangarirai ,Matan'ani,Magistrate
Tatenda ,Masaraunga,Magistrate
Nashy ,Chinoperekweyi,Magistrate
Sithembiso ,Gowero,Magistrate
Michael ,Mufukidzi,Magistrate
Panashe,Matongo,Magistrate
Vimbai ,Chirayi,Magistrate
Alois ,Midzi,Magistrate
Ashton ,Dube,Magistrate
Kudzanai ,Mahaso,Magistrate
Kudzaishe ,Pemhiwa,Magistrate
Tendai,Nemadziva,Magistrate
Kumbirai ,Nyika,Magistrate
Edwin,Marecha,Magistrate
Henry,Sande,Resident Magistrate
Lesigo,Ngwenya,Magistrate
Nomagugu,Sibanda,Resident Magistrate
Honest,Musiiwa,Resident Magistrate
Vongai,Guwuriro,Chief Magistrate
Brenda,Kachepa,Resident Magistrate
Tariro,Hove,Magistrate
Gillian,Padzakashamba,Magistrate
Nyengeterai,Bushu,Magistrate
Marvellous ,Joma,Magistrate
Bentone ,Matope,Magistrate
Samukelisiwe ,Mpande,Magistrate
Daphne ,Maruta,Magistrate
Moreblessing ,Mahaso,Magistrate
Samatha ,Ruponga,Magistrate
Cecilia ,Mhaka,Magistrate
Shepherd ,Ringoziwa,Magistrate
Terence ,Mashaire,Magistrate
Blessing ,Tsingano,Resident Magistrate
Charity ,Tonongera,Provincial Magistrate
Temba,Kuwanda,Regional Magistrate
Yeukai,Dzuda,Resident Magistrate
Elijah,Sibanda,Resident Magistrate
Isaac ,Chikura,Magistrate
Catherine ,Dzivanyika,Magistrate
Hanna ,Fazilahmed,Magistrate
Molly ,Gwatida,Magistrate
Ivy ,Jawona,Magistrate
Titus ,Makunike,Magistrate
Ropafadzo ,Manyande,Magistrate
Tatenda ,Mukurunge,Magistrate
Tinofirei ,Muronzi,Magistrate
Shumirai ,Mutimodhlo,Magistrate
Tafadzwa ,Nyambiya,Magistrate
Kudakwashe ,Sangarwe,Magistrate
Princess ,Tanyanyiwa,Magistrate
Edward ,Verenga,Magistrate
Tawedzerwa ,Zishiri,Magistrate
Lindiwe,Maphosa,Provincial Magistrate
Archie,Wochiunga,Provincial Magistrate
Sharon ,Gava,Magistrate
Hazel ,Zimbizi,Magistrate
Paidamoyo ,Mafusire,Magistrate
Natasha ,Muderedzwa,Magistrate
Deone ,Chiroyi,Magistrate
Zvikomborero ,Muganyi,Magistrate
Grace ,Sithole,Magistrate
Melinda ,Mupfungidza,Magistrate
Collet,Ncube,Deputy Chief Magistrate
Phathekile ,Msipa,Regional Magistrate
Clever ,Tsikwa,Regional Magistrate
Tranos,Utabgwashe,Regional Magistrate
Ignatius ,Mugova,Regional Magistrate
Bishard,Chineka,Regional Magistrate
Charity ,Maphosa,Regional Magistrate
Chitatu ,Tsitsi,Provincial Magistrate
Samantha,Dhlamini,Provincial Magistrate
Linda,Dzvene,Provincial Magistrate
Rumbidzai,Kabasa,Provincial Magistrate
Kandiero,Learnear,Provincial Magistrate
Beverly,Madzikatire,Provincial Magistrate
Carolina,Matanga,Provincial Magistrate
Charity ,Maunga,Provincial Magistrate
Joyline,Mudhege,Provincial Magistrate
Moses,Musiiwa,Provincial Magistrate
Talent,Mutasa,Provincial Magistrate
Noratam ,Muneshkumar,Provincial Magistrate
Conceptor,Ngwerume,Provincial Magistrate
Sharon ,Nxongo,Provincial Magistrate
Busani,Sibanda,Provincial Magistrate
 Cherly,Tembo,Provincial Magistrate
Blessings,Tsingano,Provincial Magistrate
Grace,Tupiri,Provincial Magistrate
Mark,Dzira,Regional Magistrate
Richard,Ramaboea,Provincial Magistrate
Dambudzo,Malunga,Regional Magistrate
Learnmore ,Mapiye,Regional Magistrate
Tatenda,Mukwanya,Resident Magistrate
Thomas,Gurajena,Resident Magistrate
Evelyn,Mashavakure,Resident Magistrate
Hilary,Ndlovu,Resident Magistrate
Tinashe,Ndokera,Provincial Magistrate
